sample_id,species,relative_abundance,data_source,kefir type,group
TG_ID037_ML_T2_S173,Lactobacillus helveticus,25.0643,This study,ML,milk
TG_ID037_ML_T2_S173,Lactobacillus helveticus,25.0643,This study,ML,milk
TG_ID037_ML_T2_S173,Lactobacillus helveticus,25.0643,This study,ML,milk
TG_ID037_ML_T2_S173,Lactobacillus helveticus,25.0643,This study,ML,milk
TG_ID037_ML_T2_S173,Lactobacillus helveticus,25.0643,This study,ML,milk
TG_ID037_ML_T2_S173,Lactobacillus helveticus,25.0643,This study,ML,milk
TG_ID037_ML_T3_S185,Lactococcus lactis,47.0228,This study,ML,milk
TG_ID037_ML_T3_S185,Lactococcus lactis,47.0228,This study,ML,milk
TG_ID037_ML_T3_S185,Lactococcus lactis,47.0228,This study,ML,milk
TG_ID037_ML_T3_S185,Lactococcus lactis,47.0228,This study,ML,milk
TG_ID037_ML_T3_S185,Lactococcus lactis,47.0228,This study,ML,milk
TG_ID037_ML_T3_S185,Lactococcus lactis,47.0228,This study,ML,milk
TG_ID037_ML_T4_S30,Lactococcus lactis,50.3673,This study,ML,milk
TG_ID037_ML_T4_S30,Lactococcus lactis,50.3673,This study,ML,milk
TG_ID037_ML_T4_S30,Lactococcus lactis,50.3673,This study,ML,milk
TG_ID037_ML_T4_S30,Lactococcus lactis,50.3673,This study,ML,milk
TG_ID037_ML_T5_S57,Lactobacillus kefiranofaciens,35.2149,This study,ML,milk
TG_ID037_ML_T5_S57,Lactobacillus kefiranofaciens,35.2149,This study,ML,milk
TG_ID037_ML_T5_S57,Lactobacillus kefiranofaciens,35.2149,This study,ML,milk
TG_ID037_ML_T5_S57,Lactobacillus kefiranofaciens,35.2149,This study,ML,milk
TG_ID037_ML_T5_S57,Lactobacillus kefiranofaciens,35.2149,This study,ML,milk
TG_ID037_ML_T5_S57,Lactobacillus kefiranofaciens,35.2149,This study,ML,milk
TG_ID037_ML_T6_S81,Lactobacillus helveticus,28.041,This study,ML,milk
TG_ID037_ML_T6_S81,Lactobacillus helveticus,28.041,This study,ML,milk
TG_ID037_ML_T6_S81,Lactobacillus helveticus,28.041,This study,ML,milk
TG_ID037_ML_T6_S81,Lactobacillus helveticus,28.041,This study,ML,milk
TG_ID037_ML_T6_S81,Lactobacillus helveticus,28.041,This study,ML,milk
TG_ID037_ML_T6_S81,Lactobacillus helveticus,28.041,This study,ML,milk
TG_ID042_MG_T1_S102,Lactobacillus kefiranofaciens,38.9473,This study,MG,milk
TG_ID042_MG_T1_S102,Lactobacillus kefiranofaciens,38.9473,This study,MG,milk
TG_ID042_MG_T1_S102,Lactobacillus kefiranofaciens,38.9473,This study,MG,milk
TG_ID042_MG_T1_S102,Lactobacillus kefiranofaciens,38.9473,This study,MG,milk
TG_ID042_MG_T1_S102,Lactobacillus kefiranofaciens,38.9473,This study,MG,milk
TG_ID042_MG_T1_S102,Lactobacillus kefiranofaciens,38.9473,This study,MG,milk
TG_ID042_MG_T2_S126,Lentilactobacillus kefiri,23.5411,This study,MG,milk
TG_ID042_MG_T2_S126,Lentilactobacillus kefiri,23.5411,This study,MG,milk
TG_ID042_MG_T2_S126,Lentilactobacillus kefiri,23.5411,This study,MG,milk
TG_ID042_MG_T2_S126,Lentilactobacillus kefiri,23.5411,This study,MG,milk
TG_ID042_MG_T2_S126,Lentilactobacillus kefiri,23.5411,This study,MG,milk
TG_ID042_MG_T2_S126,Lentilactobacillus kefiri,23.5411,This study,MG,milk
TG_ID042_MG_T3_S347,Lentilactobacillus kefiri,21.9569,This study,MG,milk
TG_ID042_MG_T3_S347,Lentilactobacillus kefiri,21.9569,This study,MG,milk
TG_ID042_MG_T4_S170,Lentilactobacillus kefiri,16.0184,This study,MG,milk
TG_ID042_MG_T4_S170,Lentilactobacillus kefiri,16.0184,This study,MG,milk
TG_ID042_MG_T4_S170,Lentilactobacillus kefiri,16.0184,This study,MG,milk
TG_ID042_MG_T4_S170,Lentilactobacillus kefiri,16.0184,This study,MG,milk
TG_ID042_MG_T5_S165,Lactobacillus helveticus,22.7072,This study,MG,milk
TG_ID042_MG_T5_S165,Lactobacillus helveticus,22.7072,This study,MG,milk
TG_ID042_MG_T5_S165,Lactobacillus helveticus,22.7072,This study,MG,milk
TG_ID042_MG_T5_S165,Lactobacillus helveticus,22.7072,This study,MG,milk
TG_ID042_ML_T1_S114,Acinetobacter sp. TTH0-4,47.4742,This study,ML,milk
TG_ID042_ML_T1_S114,Acinetobacter sp. TTH0-4,47.4742,This study,ML,milk
TG_ID042_ML_T1_S114,Acinetobacter sp. TTH0-4,47.4742,This study,ML,milk
TG_ID042_ML_T1_S114,Acinetobacter sp. TTH0-4,47.4742,This study,ML,milk
TG_ID042_ML_T1_S114,Acinetobacter sp. TTH0-4,47.4742,This study,ML,milk
TG_ID042_ML_T1_S114,Acinetobacter sp. TTH0-4,47.4742,This study,ML,milk
TG_ID042_ML_T2_S312,Pantoea agglomerans,61.5765,This study,ML,milk
TG_ID042_ML_T2_S312,Pantoea agglomerans,61.5765,This study,ML,milk
TG_ID042_ML_T3_S138,Lactococcus lactis,24.9276,This study,ML,milk
TG_ID042_ML_T3_S138,Lactococcus lactis,24.9276,This study,ML,milk
TG_ID042_ML_T3_S138,Lactococcus lactis,24.9276,This study,ML,milk
TG_ID042_ML_T3_S138,Lactococcus lactis,24.9276,This study,ML,milk
TG_ID042_ML_T3_S138,Lactococcus lactis,24.9276,This study,ML,milk
TG_ID042_ML_T3_S138,Lactococcus lactis,24.9276,This study,ML,milk
TG_ID042_ML_T4_S176,Lactococcus lactis,8.77533,This study,ML,milk
TG_ID042_ML_T4_S176,Lactococcus lactis,8.77533,This study,ML,milk
TG_ID042_ML_T4_S176,Lactococcus lactis,8.77533,This study,ML,milk
TG_ID042_ML_T4_S176,Lactococcus lactis,8.77533,This study,ML,milk
TG_ID042_ML_T6_S172,Leuconostoc mesenteroides,28.456,This study,ML,milk
TG_ID042_ML_T6_S172,Leuconostoc mesenteroides,28.456,This study,ML,milk
TG_ID042_ML_T6_S172,Leuconostoc mesenteroides,28.456,This study,ML,milk
TG_ID042_ML_T6_S172,Leuconostoc mesenteroides,28.456,This study,ML,milk
TG_ID043_MG_T1_S150,Lactobacillus kefiranofaciens,32.6784,This study,MG,milk
TG_ID043_MG_T1_S150,Lactobacillus kefiranofaciens,32.6784,This study,MG,milk
TG_ID043_MG_T1_S150,Lactobacillus kefiranofaciens,32.6784,This study,MG,milk
TG_ID043_MG_T1_S150,Lactobacillus kefiranofaciens,32.6784,This study,MG,milk
TG_ID043_MG_T1_S150,Lactobacillus kefiranofaciens,32.6784,This study,MG,milk
TG_ID043_MG_T1_S150,Lactobacillus kefiranofaciens,32.6784,This study,MG,milk
TG_ID043_MG_T2_S174,Lactobacillus kefiranofaciens,39.64,This study,MG,milk
TG_ID043_MG_T2_S174,Lactobacillus kefiranofaciens,39.64,This study,MG,milk
TG_ID043_MG_T2_S174,Lactobacillus kefiranofaciens,39.64,This study,MG,milk
TG_ID043_MG_T2_S174,Lactobacillus kefiranofaciens,39.64,This study,MG,milk
TG_ID043_MG_T2_S174,Lactobacillus kefiranofaciens,39.64,This study,MG,milk
TG_ID043_MG_T2_S174,Lactobacillus kefiranofaciens,39.64,This study,MG,milk
TG_ID043_MG_T3_S169,Lactobacillus kefiranofaciens,43.9019,This study,MG,milk
TG_ID043_MG_T3_S169,Lactobacillus kefiranofaciens,43.9019,This study,MG,milk
TG_ID043_MG_T3_S169,Lactobacillus kefiranofaciens,43.9019,This study,MG,milk
TG_ID043_MG_T3_S169,Lactobacillus kefiranofaciens,43.9019,This study,MG,milk
TG_ID043_MG_T6_S168,Lactobacillus kefiranofaciens,35.4532,This study,MG,milk
TG_ID043_MG_T6_S168,Lactobacillus kefiranofaciens,35.4532,This study,MG,milk
TG_ID043_MG_T6_S168,Lactobacillus kefiranofaciens,35.4532,This study,MG,milk
TG_ID043_MG_T6_S168,Lactobacillus kefiranofaciens,35.4532,This study,MG,milk
TG_ID043_ML_T1_S162,Lentilactobacillus kefiri,4.32415,This study,ML,milk
TG_ID043_ML_T1_S162,Lentilactobacillus kefiri,4.32415,This study,ML,milk
TG_ID043_ML_T1_S162,Lentilactobacillus kefiri,4.32415,This study,ML,milk
TG_ID043_ML_T1_S162,Lentilactobacillus kefiri,4.32415,This study,ML,milk
TG_ID043_ML_T1_S162,Lentilactobacillus kefiri,4.32415,This study,ML,milk
TG_ID043_ML_T1_S162,Lentilactobacillus kefiri,4.32415,This study,ML,milk
TG_ID043_ML_T2_S186,Lactobacillus helveticus,18.8584,This study,ML,milk
TG_ID043_ML_T2_S186,Lactobacillus helveticus,18.8584,This study,ML,milk
TG_ID043_ML_T2_S186,Lactobacillus helveticus,18.8584,This study,ML,milk
TG_ID043_ML_T2_S186,Lactobacillus helveticus,18.8584,This study,ML,milk
TG_ID043_ML_T2_S186,Lactobacillus helveticus,18.8584,This study,ML,milk
TG_ID043_ML_T2_S186,Lactobacillus helveticus,18.8584,This study,ML,milk
TG_ID043_ML_T3_S175,Lactobacillus helveticus,35.249,This study,ML,milk
TG_ID043_ML_T3_S175,Lactobacillus helveticus,35.249,This study,ML,milk
TG_ID043_ML_T3_S175,Lactobacillus helveticus,35.249,This study,ML,milk
TG_ID043_ML_T3_S175,Lactobacillus helveticus,35.249,This study,ML,milk
TG_ID043_ML_T6_S174,Lactobacillus helveticus,9.61213,This study,ML,milk
TG_ID043_ML_T6_S174,Lactobacillus helveticus,9.61213,This study,ML,milk
TG_ID043_ML_T6_S174,Lactobacillus helveticus,9.61213,This study,ML,milk
TG_ID043_ML_T6_S174,Lactobacillus helveticus,9.61213,This study,ML,milk
TG_ID048_MG_T3_S88,Lactobacillus kefiranofaciens,33.8016,This study,MG,milk
TG_ID048_MG_T3_S88,Lactobacillus kefiranofaciens,33.8016,This study,MG,milk
TG_ID048_MG_T3_S88,Lactobacillus kefiranofaciens,33.8016,This study,MG,milk
TG_ID048_MG_T3_S88,Lactobacillus kefiranofaciens,33.8016,This study,MG,milk
TG_ID048_MG_T3_S88,Lactobacillus kefiranofaciens,33.8016,This study,MG,milk
TG_ID048_MG_T3_S88,Lactobacillus kefiranofaciens,33.8016,This study,MG,milk
TG_ID048_MG_T4_S13,Lactobacillus kefiranofaciens,33.5613,This study,MG,milk
TG_ID048_MG_T4_S13,Lactobacillus kefiranofaciens,33.5613,This study,MG,milk
TG_ID048_MG_T4_S13,Lactobacillus kefiranofaciens,33.5613,This study,MG,milk
TG_ID048_MG_T4_S13,Lactobacillus kefiranofaciens,33.5613,This study,MG,milk
TG_ID048_MG_T5_S19,Lactobacillus helveticus,32.3325,This study,MG,milk
TG_ID048_MG_T5_S19,Lactobacillus helveticus,32.3325,This study,MG,milk
TG_ID048_MG_T5_S19,Lactobacillus helveticus,32.3325,This study,MG,milk
TG_ID048_MG_T5_S19,Lactobacillus helveticus,32.3325,This study,MG,milk
TG_ID048_MG_T5_S19,Lactobacillus helveticus,32.3325,This study,MG,milk
TG_ID048_MG_T5_S19,Lactobacillus helveticus,32.3325,This study,MG,milk
TG_ID048_MG_T6_S43,Lactobacillus helveticus,30.7279,This study,MG,milk
TG_ID048_MG_T6_S43,Lactobacillus helveticus,30.7279,This study,MG,milk
TG_ID048_MG_T6_S43,Lactobacillus helveticus,30.7279,This study,MG,milk
TG_ID048_MG_T6_S43,Lactobacillus helveticus,30.7279,This study,MG,milk
TG_ID048_MG_T6_S43,Lactobacillus helveticus,30.7279,This study,MG,milk
TG_ID048_MG_T6_S43,Lactobacillus helveticus,30.7279,This study,MG,milk
TG_ID048_ML_T2_S148,Pseudomonas siliginis,33.9778,This study,ML,milk
TG_ID048_ML_T2_S148,Pseudomonas siliginis,33.9778,This study,ML,milk
TG_ID048_ML_T2_S148,Pseudomonas siliginis,33.9778,This study,ML,milk
TG_ID048_ML_T2_S148,Pseudomonas siliginis,33.9778,This study,ML,milk
TG_ID048_ML_T3_S5,Lactococcus lactis,33.5125,This study,ML,milk
TG_ID048_ML_T3_S5,Lactococcus lactis,33.5125,This study,ML,milk
TG_ID048_ML_T3_S5,Lactococcus lactis,33.5125,This study,ML,milk
TG_ID048_ML_T3_S5,Lactococcus lactis,33.5125,This study,ML,milk
TG_ID048_ML_T3_S5,Lactococcus lactis,33.5125,This study,ML,milk
TG_ID048_ML_T3_S5,Lactococcus lactis,33.5125,This study,ML,milk
TG_ID048_ML_T4_S14,Lactococcus lactis,57.9169,This study,ML,milk
TG_ID048_ML_T4_S14,Lactococcus lactis,57.9169,This study,ML,milk
TG_ID048_ML_T4_S14,Lactococcus lactis,57.9169,This study,ML,milk
TG_ID048_ML_T4_S14,Lactococcus lactis,57.9169,This study,ML,milk
TG_ID048_ML_T5_S31,Lactococcus lactis,36.5536,This study,ML,milk
TG_ID048_ML_T5_S31,Lactococcus lactis,36.5536,This study,ML,milk
TG_ID048_ML_T5_S31,Lactococcus lactis,36.5536,This study,ML,milk
TG_ID048_ML_T5_S31,Lactococcus lactis,36.5536,This study,ML,milk
TG_ID048_ML_T5_S31,Lactococcus lactis,36.5536,This study,ML,milk
TG_ID048_ML_T5_S31,Lactococcus lactis,36.5536,This study,ML,milk
TG_ID048_ML_T6_S55,Pseudomonas putida,7.23154,This study,ML,milk
TG_ID048_ML_T6_S55,Pseudomonas putida,7.23154,This study,ML,milk
TG_ID048_ML_T6_S55,Pseudomonas putida,7.23154,This study,ML,milk
TG_ID048_ML_T6_S55,Pseudomonas putida,7.23154,This study,ML,milk
TG_ID048_ML_T6_S55,Pseudomonas putida,7.23154,This study,ML,milk
TG_ID048_ML_T6_S55,Pseudomonas putida,7.23154,This study,ML,milk
TG_ID049_MG_T2_S302,Lactobacillus kefiranofaciens,43.4701,This study,MG,milk
TG_ID049_MG_T2_S302,Lactobacillus kefiranofaciens,43.4701,This study,MG,milk
TG_ID049_MG_T3_S103,Lactobacillus kefiranofaciens,53.3478,This study,MG,milk
TG_ID049_MG_T3_S103,Lactobacillus kefiranofaciens,53.3478,This study,MG,milk
TG_ID049_MG_T3_S103,Lactobacillus kefiranofaciens,53.3478,This study,MG,milk
TG_ID049_MG_T3_S103,Lactobacillus kefiranofaciens,53.3478,This study,MG,milk
TG_ID049_MG_T3_S103,Lactobacillus kefiranofaciens,53.3478,This study,MG,milk
TG_ID049_MG_T3_S103,Lactobacillus kefiranofaciens,53.3478,This study,MG,milk
TG_ID049_MG_T5_S127,Lactobacillus kefiranofaciens,50.7413,This study,MG,milk
TG_ID049_MG_T5_S127,Lactobacillus kefiranofaciens,50.7413,This study,MG,milk
TG_ID049_MG_T5_S127,Lactobacillus kefiranofaciens,50.7413,This study,MG,milk
TG_ID049_MG_T5_S127,Lactobacillus kefiranofaciens,50.7413,This study,MG,milk
TG_ID049_MG_T5_S127,Lactobacillus kefiranofaciens,50.7413,This study,MG,milk
TG_ID049_MG_T5_S127,Lactobacillus kefiranofaciens,50.7413,This study,MG,milk
TG_ID049_MG_T6_S134,Lactobacillus kefiranofaciens,49.5387,This study,MG,milk
TG_ID049_MG_T6_S134,Lactobacillus kefiranofaciens,49.5387,This study,MG,milk
TG_ID049_MG_T6_S134,Lactobacillus kefiranofaciens,49.5387,This study,MG,milk
TG_ID049_MG_T6_S134,Lactobacillus kefiranofaciens,49.5387,This study,MG,milk
TG_ID049_MG_T6_S134,Lactobacillus kefiranofaciens,49.5387,This study,MG,milk
TG_ID049_MG_T6_S134,Lactobacillus kefiranofaciens,49.5387,This study,MG,milk
TG_ID049_ML_T1_S104,Bacillus mycoides,37.3828,This study,ML,milk
TG_ID049_ML_T1_S104,Bacillus mycoides,37.3828,This study,ML,milk
TG_ID049_ML_T1_S104,Bacillus mycoides,37.3828,This study,ML,milk
TG_ID049_ML_T1_S104,Bacillus mycoides,37.3828,This study,ML,milk
TG_ID049_ML_T3_S115,Lactococcus raffinolactis,24.6216,This study,ML,milk
TG_ID049_ML_T3_S115,Lactococcus raffinolactis,24.6216,This study,ML,milk
TG_ID049_ML_T3_S115,Lactococcus raffinolactis,24.6216,This study,ML,milk
TG_ID049_ML_T3_S115,Lactococcus raffinolactis,24.6216,This study,ML,milk
TG_ID049_ML_T3_S115,Lactococcus raffinolactis,24.6216,This study,ML,milk
TG_ID049_ML_T3_S115,Lactococcus raffinolactis,24.6216,This study,ML,milk
TG_ID049_ML_T5_S139,Lactococcus lactis,39.2604,This study,ML,milk
TG_ID049_ML_T5_S139,Lactococcus lactis,39.2604,This study,ML,milk
TG_ID049_ML_T5_S139,Lactococcus lactis,39.2604,This study,ML,milk
TG_ID049_ML_T5_S139,Lactococcus lactis,39.2604,This study,ML,milk
TG_ID049_ML_T5_S139,Lactococcus lactis,39.2604,This study,ML,milk
TG_ID049_ML_T5_S139,Lactococcus lactis,39.2604,This study,ML,milk
TG_ID049_ML_T6_S33,Lactobacillus helveticus,5.8006,This study,ML,milk
TG_ID049_ML_T6_S33,Lactobacillus helveticus,5.8006,This study,ML,milk
TG_ID049_ML_T6_S33,Lactobacillus helveticus,5.8006,This study,ML,milk
TG_ID049_ML_T6_S33,Lactobacillus helveticus,5.8006,This study,ML,milk
TG_ID049_ML_T6_S33,Lactobacillus helveticus,5.8006,This study,ML,milk
TG_ID049_ML_T6_S33,Lactobacillus helveticus,5.8006,This study,ML,milk
TG_ID050_MG_T1_S180,Lactobacillus kefiranofaciens,39.2934,This study,MG,milk
TG_ID050_MG_T1_S180,Lactobacillus kefiranofaciens,39.2934,This study,MG,milk
TG_ID050_MG_T1_S180,Lactobacillus kefiranofaciens,39.2934,This study,MG,milk
TG_ID050_MG_T1_S180,Lactobacillus kefiranofaciens,39.2934,This study,MG,milk
TG_ID050_MG_T1_S180,Lactobacillus kefiranofaciens,39.2934,This study,MG,milk
TG_ID050_MG_T1_S180,Lactobacillus kefiranofaciens,39.2934,This study,MG,milk
TG_ID050_MG_T2_S192,Lactobacillus kefiranofaciens,35.0272,This study,MG,milk
TG_ID050_MG_T2_S192,Lactobacillus kefiranofaciens,35.0272,This study,MG,milk
TG_ID050_MG_T2_S192,Lactobacillus kefiranofaciens,35.0272,This study,MG,milk
TG_ID050_MG_T2_S192,Lactobacillus kefiranofaciens,35.0272,This study,MG,milk
TG_ID050_MG_T2_S192,Lactobacillus kefiranofaciens,35.0272,This study,MG,milk
TG_ID050_MG_T2_S192,Lactobacillus kefiranofaciens,35.0272,This study,MG,milk
TG_ID050_MG_T3_S385,Lactobacillus kefiranofaciens,30.5609,This study,MG,milk
TG_ID050_MG_T3_S385,Lactobacillus kefiranofaciens,30.5609,This study,MG,milk
TG_ID050_MG_T4_S83,Lactobacillus kefiranofaciens,28.0907,This study,MG,milk
TG_ID050_MG_T4_S83,Lactobacillus kefiranofaciens,28.0907,This study,MG,milk
TG_ID050_MG_T4_S83,Lactobacillus kefiranofaciens,28.0907,This study,MG,milk
TG_ID050_MG_T4_S83,Lactobacillus kefiranofaciens,28.0907,This study,MG,milk
TG_ID050_MG_T5_S390,Lactobacillus kefiranofaciens,32.4124,This study,MG,milk
TG_ID050_MG_T5_S390,Lactobacillus kefiranofaciens,32.4124,This study,MG,milk
TG_ID050_MG_T6_S395,Lactobacillus kefiranofaciens,36.3739,This study,MG,milk
TG_ID050_MG_T6_S395,Lactobacillus kefiranofaciens,36.3739,This study,MG,milk
TG_ID050_ML_T1_S132,Lentilactobacillus kefiri,5.70615,This study,ML,milk
TG_ID050_ML_T1_S132,Lentilactobacillus kefiri,5.70615,This study,ML,milk
TG_ID050_ML_T1_S132,Lentilactobacillus kefiri,5.70615,This study,ML,milk
TG_ID050_ML_T1_S132,Lentilactobacillus kefiri,5.70615,This study,ML,milk
TG_ID050_ML_T1_S132,Lentilactobacillus kefiri,5.70615,This study,ML,milk
TG_ID050_ML_T1_S132,Lentilactobacillus kefiri,5.70615,This study,ML,milk
TG_ID050_ML_T2_S144,Carnobacterium maltaromaticum,19.5891,This study,ML,milk
TG_ID050_ML_T2_S144,Carnobacterium maltaromaticum,19.5891,This study,ML,milk
TG_ID050_ML_T2_S144,Carnobacterium maltaromaticum,19.5891,This study,ML,milk
TG_ID050_ML_T2_S144,Carnobacterium maltaromaticum,19.5891,This study,ML,milk
TG_ID050_ML_T2_S144,Carnobacterium maltaromaticum,19.5891,This study,ML,milk
TG_ID050_ML_T2_S144,Carnobacterium maltaromaticum,19.5891,This study,ML,milk
TG_ID050_ML_T3_S156,Lactococcus cremoris,39.0639,This study,ML,milk
TG_ID050_ML_T3_S156,Lactococcus cremoris,39.0639,This study,ML,milk
TG_ID050_ML_T3_S156,Lactococcus cremoris,39.0639,This study,ML,milk
TG_ID050_ML_T3_S156,Lactococcus cremoris,39.0639,This study,ML,milk
TG_ID050_ML_T3_S156,Lactococcus cremoris,39.0639,This study,ML,milk
TG_ID050_ML_T3_S156,Lactococcus cremoris,39.0639,This study,ML,milk
TG_ID050_ML_T4_S82,Hafnia paralvei,51.1501,This study,ML,milk
TG_ID050_ML_T4_S82,Hafnia paralvei,51.1501,This study,ML,milk
TG_ID050_ML_T4_S82,Hafnia paralvei,51.1501,This study,ML,milk
TG_ID050_ML_T4_S82,Hafnia paralvei,51.1501,This study,ML,milk
TG_ID050_ML_T5_S168,Lactobacillus kefiranofaciens,25.745,This study,ML,milk
TG_ID050_ML_T5_S168,Lactobacillus kefiranofaciens,25.745,This study,ML,milk
TG_ID050_ML_T5_S168,Lactobacillus kefiranofaciens,25.745,This study,ML,milk
TG_ID050_ML_T5_S168,Lactobacillus kefiranofaciens,25.745,This study,ML,milk
TG_ID050_ML_T5_S168,Lactobacillus kefiranofaciens,25.745,This study,ML,milk
TG_ID050_ML_T5_S168,Lactobacillus kefiranofaciens,25.745,This study,ML,milk
TG_ID050_ML_T6_S179,Leuconostoc mesenteroides,13.9562,This study,ML,milk
TG_ID050_ML_T6_S179,Leuconostoc mesenteroides,13.9562,This study,ML,milk
TG_ID050_ML_T6_S179,Leuconostoc mesenteroides,13.9562,This study,ML,milk
TG_ID050_ML_T6_S179,Leuconostoc mesenteroides,13.9562,This study,ML,milk
TG_ID050_ML_T6_S179,Leuconostoc mesenteroides,13.9562,This study,ML,milk
TG_ID050_ML_T6_S179,Leuconostoc mesenteroides,13.9562,This study,ML,milk
TG_ID052_MG_T1_S290,Lactobacillus kefiranofaciens,28.8692,This study,MG,milk
TG_ID052_MG_T1_S290,Lactobacillus kefiranofaciens,28.8692,This study,MG,milk
TG_ID052_MG_T2_S314,Lactobacillus helveticus,36.2868,This study,MG,milk
TG_ID052_MG_T2_S314,Lactobacillus helveticus,36.2868,This study,MG,milk
TG_ID052_MG_T3_S64,Lactobacillus kefiranofaciens,32.4024,This study,MG,milk
TG_ID052_MG_T3_S64,Lactobacillus kefiranofaciens,32.4024,This study,MG,milk
TG_ID052_MG_T3_S64,Lactobacillus kefiranofaciens,32.4024,This study,MG,milk
TG_ID052_MG_T3_S64,Lactobacillus kefiranofaciens,32.4024,This study,MG,milk
TG_ID052_MG_T3_S64,Lactobacillus kefiranofaciens,32.4024,This study,MG,milk
TG_ID052_MG_T3_S64,Lactobacillus kefiranofaciens,32.4024,This study,MG,milk
TG_ID052_MG_T4_S78,Lactobacillus kefiranofaciens,37.9793,This study,MG,milk
TG_ID052_MG_T4_S78,Lactobacillus kefiranofaciens,37.9793,This study,MG,milk
TG_ID052_MG_T4_S78,Lactobacillus kefiranofaciens,37.9793,This study,MG,milk
TG_ID052_MG_T4_S78,Lactobacillus kefiranofaciens,37.9793,This study,MG,milk
TG_ID052_MG_T5_S154,Lactobacillus kefiranofaciens,37.2505,This study,MG,milk
TG_ID052_MG_T5_S154,Lactobacillus kefiranofaciens,37.2505,This study,MG,milk
TG_ID052_MG_T5_S154,Lactobacillus kefiranofaciens,37.2505,This study,MG,milk
TG_ID052_MG_T5_S154,Lactobacillus kefiranofaciens,37.2505,This study,MG,milk
TG_ID052_ML_T3_S76,Lactococcus cremoris,38.6806,This study,ML,milk
TG_ID052_ML_T3_S76,Lactococcus cremoris,38.6806,This study,ML,milk
TG_ID052_ML_T3_S76,Lactococcus cremoris,38.6806,This study,ML,milk
TG_ID052_ML_T3_S76,Lactococcus cremoris,38.6806,This study,ML,milk
TG_ID052_ML_T3_S76,Lactococcus cremoris,38.6806,This study,ML,milk
TG_ID052_ML_T3_S76,Lactococcus cremoris,38.6806,This study,ML,milk
TG_ID052_ML_T4_S156,Pseudomonas fragi,15.9979,This study,ML,milk
TG_ID052_ML_T4_S156,Pseudomonas fragi,15.9979,This study,ML,milk
TG_ID052_ML_T4_S156,Pseudomonas fragi,15.9979,This study,ML,milk
TG_ID052_ML_T4_S156,Pseudomonas fragi,15.9979,This study,ML,milk
TG_ID052_ML_T5_S155,Pseudomonas fragi,7.86562,This study,ML,milk
TG_ID052_ML_T5_S155,Pseudomonas fragi,7.86562,This study,ML,milk
TG_ID052_ML_T5_S155,Pseudomonas fragi,7.86562,This study,ML,milk
TG_ID052_ML_T5_S155,Pseudomonas fragi,7.86562,This study,ML,milk
TG_ID053_MG_T1_S359,Lactobacillus kefiranofaciens,26.8812,This study,MG,milk
TG_ID053_MG_T1_S359,Lactobacillus kefiranofaciens,26.8812,This study,MG,milk
TG_ID053_MG_T2_S371,Lactobacillus helveticus,66.641,This study,MG,milk
TG_ID053_MG_T2_S371,Lactobacillus helveticus,66.641,This study,MG,milk
TG_ID053_MG_T3_S89,Lactobacillus helveticus,46.6977,This study,MG,milk
TG_ID053_MG_T3_S89,Lactobacillus helveticus,46.6977,This study,MG,milk
TG_ID053_MG_T3_S89,Lactobacillus helveticus,46.6977,This study,MG,milk
TG_ID053_MG_T3_S89,Lactobacillus helveticus,46.6977,This study,MG,milk
TG_ID053_MG_T5_S90,Lactobacillus helveticus,59.4926,This study,MG,milk
TG_ID053_MG_T5_S90,Lactobacillus helveticus,59.4926,This study,MG,milk
TG_ID053_MG_T5_S90,Lactobacillus helveticus,59.4926,This study,MG,milk
TG_ID053_MG_T5_S90,Lactobacillus helveticus,59.4926,This study,MG,milk
TG_ID053_MG_T6_S91,Lactobacillus helveticus,38.6348,This study,MG,milk
TG_ID053_MG_T6_S91,Lactobacillus helveticus,38.6348,This study,MG,milk
TG_ID053_MG_T6_S91,Lactobacillus helveticus,38.6348,This study,MG,milk
TG_ID053_MG_T6_S91,Lactobacillus helveticus,38.6348,This study,MG,milk
TG_ID053_ML_T1_S336,Lactobacillus helveticus,2.21442,This study,ML,milk
TG_ID053_ML_T1_S336,Lactobacillus helveticus,2.21442,This study,ML,milk
TG_ID053_ML_T2_S348,Lactobacillus helveticus,35.8821,This study,ML,milk
TG_ID053_ML_T2_S348,Lactobacillus helveticus,35.8821,This study,ML,milk
TG_ID053_ML_T3_S113,Lactobacillus helveticus,58.286,This study,ML,milk
TG_ID053_ML_T3_S113,Lactobacillus helveticus,58.286,This study,ML,milk
TG_ID053_ML_T3_S113,Lactobacillus helveticus,58.286,This study,ML,milk
TG_ID053_ML_T3_S113,Lactobacillus helveticus,58.286,This study,ML,milk
TG_ID053_ML_T4_S116,Escherichia coli,32.8541,This study,ML,milk
TG_ID053_ML_T4_S116,Escherichia coli,32.8541,This study,ML,milk
TG_ID053_ML_T4_S116,Escherichia coli,32.8541,This study,ML,milk
TG_ID053_ML_T4_S116,Escherichia coli,32.8541,This study,ML,milk
TG_ID053_ML_T5_S114,Enterococcus faecalis,37.7828,This study,ML,milk
TG_ID053_ML_T5_S114,Enterococcus faecalis,37.7828,This study,ML,milk
TG_ID053_ML_T5_S114,Enterococcus faecalis,37.7828,This study,ML,milk
TG_ID053_ML_T5_S114,Enterococcus faecalis,37.7828,This study,ML,milk
TG_ID053_ML_T6_S115,Lactobacillus helveticus,50.6479,This study,ML,milk
